"codigo","color_por_confirmar","color_final","modelos"
"B27","Beige / Arena","","OLIVERY B27XS"
"D17","","","LUPETA"
"FUR","","",""
"G04","Gris","","EGTENY"
"G17","Gris","","MEGGY, ACRONY G17XS, TRINITARIA"
"G18","Gris","","ROBURAY"
"G1N","Gris","","HILLSBORO"
"G29","Gris","","JUCALY, MAZUNTE, HILLSBORO, ACRONY"
"G86T","Gris","","CEDRAL"
"G95","Gris","","KUNST G95XS"
"GI7","Gris","","FROM"
"GZ0","Gris","","TACANA"
"I40","","","BENJA"
"M10","Marrón","","MEGGY M10XS"
"M16","Marrón","","TRINITARIA, TAPALPA"
"M2F","Marrón","","YEL, WEEKLY"
"MC","Marrón","","ARFAJ RA26531"
"ML","Marrón","","CODORACHIL"
"MX","Marrón","","PORTER6 MXM"
"N01","Negro","","IMALA, ARWIN, COLORMEN, ESPEDT, PILIGRAM, WANDER N01XXL, SEDRAL, TRINITARIA, LUBOCK, ACRONY, TAPALPA N01XL, ACUARELA, CIRUELO, KOELARA, NABON, YEL, METEPEC"
"N015","Negro","","GUAJILLO"
"NG0","Negro","","KIRAT, BARUES, TACANA"
"NGR","Negro","","BOROX"
"NZ0","Negro","","BAURES"
"P10","Plomo / Perla","","RABELO"
"P25","Plomo / Perla","","FERNANDINA"
"P75","Plomo / Perla","","YEL"
"P88","Plomo / Perla","","OLIVERY"
"R15","Rojo","","BATARA"
"R21","Rojo","","SPENCER R21XS"
"R40","Rojo","","LIESA R40XL, YEL"
"R57","Rojo","","COLORMEN R57XXL, VERNOS, METEPEC"
"RAYO","Rojo","","RAYOL"
"RN0","Rojo","","TACANA"
"SDE","","","GORE"
"T03","Terracota / Camello","","TUINALLY"
"T0N","Terracota / Camello","","SALONICA"
"T0W","Terracota / Camello","","YECORA, ARFY"
"T1F","Terracota / Camello","","TEKAM"
"T1W","Terracota / Camello","","GRETE T1WXL"
"T2I","Terracota / Camello","","ARWIN, ARWIN T2IXL, PILIGRAM"
"T2L","Terracota / Camello","","GRETE T2LXL"
"T2N","Terracota / Camello","","LI ABIDE"
"T2Z","Terracota / Camello","","TECORIPA, KILLEN T2ZXL, YECORA, NOCOA"
"T3D","Terracota / Camello","","GUALLKY"
"T3K","Terracota / Camello","","GORKY, MAZUNTE, MULATO"
"T49","Terracota / Camello","","COLORMEN"
"T60","Terracota / Camello","","MOZART"
"T62","Terracota / Camello","","DELEG"
"T84","Terracota / Camello","","CUILCO"
"TM","Terracota / Camello","","ROYELF"
"V06","Verde","","GUALLKY, TEKAM, BAYMENA V06XS, YEL, TERUEL, ARFY"
"V07","Verde","","LI ABIDE, EXPEDIT, PILIGRAM"
"V41","Verde","","FERNANDINA"
"XG1","","","KUNST"
"XX","","","COLOR MEN XXL"
"YE","","","YEL ROSADA"
"Z04","Azul","","DEVRY, RAYOL"
"Z06","Azul","","COLORMEN, LIESA Z06XL"
"Z11","Azul","","YEL"
"Z21","Azul","","CAPOLLY"
"Z32","Azul","","YEIL"
"Z3I","Azul","","TECORIPA, VERNOS, HILLSBORO, YEL"
"Z3W","Azul","","EXPEDIT, GRETE, WANDER"
"Z3Y","Azul","","COLORMEN, HARUKI, YEL"
"Z5L","Azul","","TEKAM"
"Z5V","Azul","","CIRUELO"
"Z60","Azul","","MODE, MOLINARY"
"Z6O","Azul","","GORKY, MAZUNTE, MULATO, COLORMEN Z6OXS, KILLEN Z6OXL, CUILCO, YECORA, SALONICA"
"Z76","Azul","","TEKAM"
"Z88","Azul","","COLORMEN XXLJPG"
